"Country","Happiness.Score","HDI","Population","Unemployment","GDP..2018.international...","Area..km.2.","Electricity.consumption.GW.h.yr.","Gini.Index","Index.of.Economic.Freedom","Median.wealth.per.adult..US.dollars.","Revenues..millions.USD.","Expenditures..millions.USD.","Surplus..or.deficit...millions.USD.","Real.GDP.growth.rate","average.Temperature.F","Education.Index","Natural.Disaster.Risk....","Environmental.Vulnerabilty.Index","CO2.Emissions.per.Capita..metric.tons.","Net.Exports.per.capita.USD","Life.Expectancy.at.Birth","X2019.mortality.rate..under.5..per.1000.live.births.","Overall.mean.BMI..kg.m2.","Democracy.Index","Incarceration.rate.per.100.000.population","Homicides.per.100.000","Ethnic.Fractionalization","Linguistic.Fractionalization","Religious.Fractionalization","Social.progress.index","Healthcare.Efficiency.Index","Marriages.per.1000","Divorces.per.1000","M.D.ratio","Gender.Equality.Index","Religiosity"
"Nigeria",4.724,"0.539","211401000","33.3","1033575849451","910770","29011","43","58.7","1249","13970","22150","-8180","2.2","80.24","0.477","0.0798","336","0.6","497","62.6","117.2","23.4","4.1","31","9.85","0.8505","0.8316","0.7421","51.31","0.176","N/A","N/A","N/A","0.627","0.96"
"North Cyprus",5.536,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"North Macedonia",5.16,"0.774","2076255","17.1","34405256698","25220","7024","35.6","68.6","N/A","3314","3655","-341","N/A","N/A","0.673","N/A","N/A","3.9","N/A","74.8","6.1","N/A","5.89","105","1.2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.715","0.76"
"Norway",7.488,"0.957","5391369","5.2","359298961716","365107.8","124127","27.5","73.4","70627","196144","202684","-6540","1.2","34.7","0.916","0.0219","273","9.4","19788","83.3","2.4","26","9.81","49","0.47","0.0586","0.0673","0.2048","92.73","0.955","4.3","1.9","2.26","0.849","0.22"
"Pakistan",5.693,"0.557","225200000","4.4","1029585145405","770880","90000","33.5","51.7","1766","42951","65718","-22767","1.9","68.36","0.55","0.0696","368","1","130","65.6","67.2","23.8","4.31","38","3.88","0.7098","0.719","0.3848","49.25","0.583","N/A","N/A","N/A","0.556","0.92"
"Palestine",4.553,"0.708","5227193","25.3","N/A","N/A","N/A","N/A","N/A","N/A","2750","4077","-1327","N/A","N/A","0.655","N/A","N/A","N/A","146","N/A","N/A","N/A","3.83","N/A","0.49","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Panama",6.305,"0.815","4278500","3.8","132748727286","74177","9258","49.9","66.2","13259","12600","13560","-960","-9","77.72","0.691","0.0726","247","2.8","4737","79.3","14.9","27.1","7.18","416","9.39","0.5528","0.3873","0.3338","76.55","0.656","3.7","1","3.7","0.737","0.88"
"Paraguay",5.692,"0.728","7353038","5.7","91494315027","397300","13097","48.8","62.6","3887","5366","5876","-510","0.2","74.39","0.613","0.0348","260","1.1","2131","75.8","19.4","25.8","6.18","241","7.14","0.1689","0.5975","0.2123","72.48","0.761","N/A","N/A","N/A","0.702","0.92"
"Peru",5.797,"0.777","33035304","16.4","418547458561","1280000","47409","43.3","67.7","4989","35869","54286","-18417","2.2","67.28","0.672","0.0659","268","1.8","1157","79.9","13.2","26.3","6.53","290","7.7","0.6566","0.3358","0.1988","74.22","0.547","N/A","N/A","N/A","0.721","0.84"
"Philippines",6.006,"0.718","109979383","10","929689921316","298170","93354","44.4","64.1","2663","63252","92876","-29624","-8.3","78.53","0.637","0.267","402","1.4","519","70.4","27.3","23.2","6.56","200","6.46","0.2385","0.836","0.3056","66.62","0.755","N/A","N/A","N/A","0.784","0.96"
"Poland",6.186,"0.88","38268000","3.5","1208903726913","306170","152573","31.8","69.7","22600","236464","297249","-60785","-3.6","46.13","0.852","0.032","354","8.8","5688","78.3","4.4","26.4","6.85","179","0.73","0.1183","0.0468","0.1712","84.32","0.793","5.1","1.7","3","0.713","0.75"
"Portugal",5.911,"0.864","10295909","7.5","353153783394","91605.6","48035","35.5","67.5","44025","93433","111948","-18515","2.2","59.27","0.756","0.0345","335","5.1","6390","81.6","3.7","26.2","7.9","111","0.79","0.0468","0.0198","0.1438","87.79","0.945","3.4","2","1.7","0.775","0.72"
"Romania",6.124,"0.828","19317984","5.3","568867842525","230080","55008","35.9","69.5","19582","72093","95944","-23851","-4.8","47.84","0.769","0.0592","335","4.1","3178","75.6","7","25.3","6.4","113","1.28","0.3069","0.1723","0.2373","78.35","0.645","7.4","1.6","4.63","0.7","0.84"
"Russia",5.546,"0.824","146238185","6.3","4223363714785","N/A","965156","37.7","61.5","3683","468651","546027","-77376","1.3","22.82","N/A","0.0358","273","12.1","1799","N/A","5.8","26.5","3.31","N/A","8.21","0.2452","0.2485","0.4398","72.56","0.544","9.2","4.8","1.92","0.708","0.34"
"Rwanda",3.312,"0.543","12955768","16","26299700706","24670","764","43.7","68.3","1259","1874","2255","-381","2","64.13","0.426","0.0709","298","0.1","47","69.1","34.3","22","3.1","511","2.52","0.3238","0","0.5066","54.13","0.327","N/A","N/A","N/A","0.805","0.95"
"Saudi Arabia",6.406,"0.854","34218169","15.4","1641856836371","2149690","322372","N/A","66","16599","193054","264984","-71930","0.3","76.37","0.768","0.0114","274","18.6","10633","74.3","6.6","28.5","2.08","197","1.3","0.18","0.0949","0.127","65.06","0.894","5.2","1.1","4.73","0.603","0.93"
"Senegal",4.981,"0.512","17223497","6.7","53793913550","192530","3842","40.3","58","1632","3863","4474","-611","-0.7","82.13","0.355","0.1038","277","0.7","187","68.6","45.3","23","5.67","68","7.38","0.6939","0.7081","0.1497","60.04","0.756","N/A","N/A","N/A","0.684","0.96"
"Serbia",5.778,"0.806","6926705","7.3","122636628733","87460","30292","39.6","67.2","10737","16250","16930","-680","-2.5","50.99","0.76","0.0712","N/A","6.3","2108","75.9","5.3","25.8","6.22","158","1.23","0.5736","0","0","75.54","N/A","5.2","1.4","3.71","0.78","0.54"
"Sierra Leone",3.926,"0.452","8297882","4.4","13024700610","72180","242","34","51.7","278","684","963","-279","-3.1","78.89","0.374","0.1021","283","0.2","237","60.8","109.2","22.8","4.86","60","1.71","0.8191","0.7634","0.5395","51.74","N/A","N/A","N/A","N/A","0.655","N/A"
"Singapore",6.377,"0.938","5685807","3.6","564157622013","709","47583","N/A","89.7","96967","59678","96031","-36353","0.7","79.61","0.814","0.0227","428","9.7","63775","83.2","2.5","23.7","6.03","195","0.16","0.3857","0.3835","0.6561","85.46","0.973","6.8","1.9","3.58","0.727","0.7"
"Slovakia",6.281,"0.86","5459781","7","N/A","N/A","26237","N/A","66.3","40432","43113","51118","-8005","2.3","44.24","0.823","0.0339","303","7","15957","78.2","5.8","26.5","6.97","194","1.37","0.2539","0.2551","0.5655","83.15","0.754","5.7","1.8","3.17","0.712","0.47"
"Slovenia",6.363,"0.917","2111461","4.9","80361841190","20136.4","14023","25.4","68.3","50380","20200","20970","-770","-6.7","48.02","0.886","0.0341","362","7.5","14721","81.3","2.1","26.9","7.54","53","0.48","0.2216","0.2201","0.2868","87.71","0.838","3.5","1.1","3.18","0.741","0.47"
"South Africa",4.814,"0.709","59622350","32.5","747020842636","1213090","210304","63","59.7","6476","76434","116118","-39684","0.2","63.95","0.705","0.0558","324","8.3","1781","65.3","34.5","27.3","7.05","259","36.4","0.7517","0.8652","0.8603","70.26","0.319","3.5","0.6","5.83","0.781","0.85"
"South Korea",5.872,"0.916","51824142","4.2","N/A","N/A","N/A","N/A","74","72198","N/A","N/A","N/A","2","52.7","0.867","0.0459","373","13.6","11104","83.3","N/A","23.9","8.01","N/A","0.6","0.0392","0.0028","0.4891","89.06","0.759","4.7","2.2","2.14","N/A","0.43"
"South Sudan",2.817,"0.433","13249924","12.3","N/A","631928.1","529","N/A","N/A","N/A","437","2259","-1822","4.1","N/A","0.297","N/A","N/A","0.4","N/A","62.8","96.2","25.2","N/A","50","13.9","N/A","N/A","N/A","31.06","N/A","N/A","N/A","N/A","N/A","N/A"
"Spain",6.401,"0.904","47351567","16.2","1894494241788","499603.5","241563","36.2","69.9","95360","481945","657750","-175805","2","55.94","0.818","0.0305","352","6","6829","83.2","3.1","26.7","8.12","122","0.62","0.4165","0.4132","0.4514","88.71","0.972","3.5","2","1.75","0.788","0.49"
"Sri Lanka",4.327,"0.782","21919000","5.4","285354274779","61864","13438","39.8","55.7","8283","12640","16660","-4020","2.3","80.51","0.752","0.0732","331","1.1","567","76.9","7.1","23","6.14","135","2.42","0.415","0.4645","0.4853","73.2","0.716","N/A","N/A","N/A","0.67","0.99"
"Swaziland",4.308,"N/A","N/A","N/A","N/A","N/A","1682","N/A","N/A","N/A","1150","1475","-325","N/A","70.52","N/A","0.0752","243","N/A","1415","N/A","N/A","26.5","N/A","N/A","N/A","0.0582","0.1722","0.4444","52.92","0.305","N/A","N/A","N/A","N/A","N/A"
